Food Category,Ingredients,Instructions,Calories,Fat,Saturated Fat,Carbohydrates,Net Carbohydrates,Sugar,Cholesterol,Sodium,Alcohol,Alcohol %,Protein,Calcium,Phosphorus,Vitamin B2,Vitamin B12,Manganese,Vitamin D,Selenium,Vitamin B1,Potassium,Vitamin B5,Magnesium,Vitamin A,Zinc,Vitamin B6,Copper,Folate,Fiber,Iron,Vitamin E,Vitamin B3,Vitamin K,Caffeine,Vitamin C
apple pie,"baking powder, baking soda, butter, canola oil, cinnamon, cream cheese, eggs, flour, maple flavoring, milk, nutmeg, nuts, old-fashioned rolled oats, powdered sugar, salt, sugar, applesauce, vanilla, water","<ol><li>In a large bowl, combine oats, flour, sugar, baking powder, baking soda, cinnamon, nutmeg, cloves, and salt.</li><li>In another bowl, beat eggs, applesauce, water, oil, and vanilla until well mixed, then stir into dry ingredients just until moistened. DON'T overmix. Gently fold in the nuts.</li><li>Drop batter by 2 tablespoons, 2 inches apart on a greased cookie sheet, shaping each into a circle. Bake at 350 for 9-10 minutes or until tops are firm. Remove to wire racks to cool.</li><li>In a small mixing bowl, beat filling ingredients together until light and fluffy, about 2-3 minutes. Add a tablespoonful of milk if you'd like it thinner. (I usually add 1 or 2.) </li><li>Spread over bottom of half the cookies; top with remaining cookies. Store in refrigerator.</li><li>Note: If you find that they spread too much when baking, add a few tablespoonfuls of flour to the remaining batter.</li></ol>",362.43,16.11,7.39,44.61,43.34,35.38,73.24,311.97,0.06,0.02,11.48,339.99,324.27,0.44,1.41,0.45,2.87,11.95,0.23,440.74,1.2,47.76,571.46,1.55,0.2,0.11,20.46,1.26,0.89,0.55,0.7,2.03,,
baby back ribs,"chile powder, thyme, ground cumin, garlic powder, salt, pepper, cayenne, baby back ribs, liquid smoke, oil, garlic, cider vinegar, soy sauce, tomato puree, molasses, brown sugar, coffee granules, cumin, dijon mustard, paprika","Preheat the oven to *350. Mix the first seven ingredients in a small bowl.
Cut each rack in several pieces and rub the spices over all the rib sections. You can leave the ribs whole if you like the way they look better--I just think they are easier to handle on the grill in smaller pieces! Pour 4 cups of water and 1 tsp. of liquid smoke in a roasting pan.
Place the ribs in the pan, top up. Tightly cover the pan with foil and bake for 2 hours. Remove from the oven and rest until ready to grill. Meanwhile, add 1 Tb. oil to a sauce pan over medium heat. Add the garlic and saut for 1-2 minutes. Then add the rest of the ingredients for the BBQ sauce to the sauce pan. Simmer for at least 30 minutes, stirring occasionally.
Heat a grill over medium-low heat. Brush the ribs completely with BBQ sauce. Place them on the grill and cook for 20 minutes, turning and brushing every 5 minutes until the desired bark has developed.
It's fun to make your own BBQ sauce. But in a pinch, buy a bottled variety you like and simmer for a few minutes with the coffee granules!",695.23,34.42,11.26,58.31,54.22,49.64,130.41,2292.33,0.0,0.0,41.4,194.43,392.76,0.71,1.06,0.82,2.08,63.85,1.01,1224.97,2.18,107.69,1154.17,5.55,1.21,0.56,23.89,4.09,6.31,3.37,15.78,17.2,10.47,13.08
baklava,"walnuts, sugar, ground cinnamon, phyllo, butter, honey, bacon","In large bowl of food processor, add walnuts, bacon, sugar, and cinnamon. Pulse until walnuts and bacon are chopped; set aside. (Be sure to fry the bacon to a crispy stage. Then it will chop up finely and evenly.)
Cut phyllo into 13"" by 9"" rectangles. In greased 13"" by 9"" baking dish, place 1 phyllo sheet; brush with melted butter. Repeat with phyllo and butter to make 5 more layers, overlapping any small strips of phyllo to make rectangles, if necessary.
Over phyllo in baking dish, sprinkle 1 cup walnut mixture.
Repeat steps 2 and 3 to make 3 more layers (4 layers total). Place remaining phyllo on top of last walnut layer; brush with butter.
With sharp knife, cut just halfway through layers in triangle or diamond pattern.
Bake in 300 degree oven for 1 hour and 25 minutes or until top is golden brown.
In small saucepan over medium-low heat, heat honey until hot but not boiling. Evenly spoon hot honey over hot baklava.
Cool Baklava in dish on wire rack at least 1 hour; cover with foil and let stand at room temperature until serving.
To serve, finish cutting, with a sharp knife, through layers to make triangles or diamonds.",395.15,30.13,8.53,29.23,27.9,16.3,32.81,226.24,0.0,0.0,8.01,23.46,95.5,0.05,0.11,0.67,,4.96,0.12,130.85,0.23,32.65,247.38,0.85,0.16,0.31,19.09,1.34,0.7,0.43,0.99,1.2,,
beet salad,"beet, basil, leave lettuce, maple syrup, olive oil, orange pepper, bell pepper, sunflower seeds","<ol><li>Chop the peppers and lettuce into thin slivers.</li><li>Chop the beets into circular discs, so that they remain the star of the salad and get their moment in the sun.</li><li>Mix all the salad ingredients.</li><li>Add the salad dressing just prior to serving. </li><li>Garnish with sunflower seeds.</li></ol>",209.51,5.56,0.78,39.48,30.56,29.91,0.0,84.39,0.0,0.0,5.07,77.38,127.34,0.53,,1.17,,1.44,0.24,1000.75,1.01,63.4,8205.18,1.26,0.82,0.15,235.33,8.91,2.31,4.98,2.86,49.34,,312.38
beignets,"butter, eggs, flour, nutmeg, oil, salt, sugar, vanilla extract, water","<ol><li>In a large heavy skillet or deep-fat fryer, heat 3 inches oil to 350 degrees.</li><li>Meanwhile, combine flour, sugar and nutmeg, set aside. In medium saucepan heat water or milk, butter and salt over medium heat until boiling and butter is melted. Add vanilla, then add flour mixture all at once. Stir briskly with a wooden spoon until mixture leaves sides of pan and forms a ball. Continue stirring a few minutes more to dry. Remove from heat and beat until slightly cooled. Add eggs, one at a time, beating well after each addition.</li><li>Using 2 spoons, shape a generous tablespoon dough into an oblong and drop into hot oil. Fry 3 or 4 at a time, turning beignets as they rise to the surface. Fry 3 to 4 minutes, until golden brown. Drain on paper towels and sprinkle immediately with sifted confectioners' sugar. Repeat with remaining batter. </li></ol>",144.37,11.22,5.31,10.29,10.24,8.85,47.62,120.31,0.06,0.14,1.2,,18.87,0.05,0.08,,,3.03,0.02,,0.13,,275.98,,,,7.18,,0.22,0.79,,2.69,,
bread pudding,"semi chocolate, bread, vanilla, brandy, sugar, arrowroot powder, salt, cherries, cocoa nibs","Preheat the oven to 350F.
Cube the bread and set aside in a large bowl.
Melt chocolate in a heat proof bowl over a pan of simmering water (or in a double boiler), stirring occasionally until smooth.
Measure milk in a pourable measuring cup.
Add the vanilla, brandy, sugar, salt and arrowroot powder, stirring well to incorporate and dissolve the arrowroot powder.
Pit the cherries, I used the flat side of my chefs knife to pop the cherry open and the pit little more than a flick from your fingertips.
Roughly chop the cherries, reserving as much of the juice as possible.
Pour the milk mixture over the cubed bread, then add the cherries and their juice along with the cocoa nibs, if using.
Toss well to coat the bread and to soak up the liquid.
Drizzle over the melted chocolate, stirring well to combine.
Pour mixture into a short baking dish or divide between 4  1 cup ramekins.
Bake for 15 minutes.
Best served warm and with just about any ice cream you like.",321.61,8.87,4.45,49.85,43.35,20.2,0.85,274.96,0.71,0.91,9.56,119.31,162.39,0.11,,1.46,,16.48,0.24,228.85,0.45,73.99,546.74,1.42,0.13,0.31,24.91,6.49,2.66,0.4,2.74,5.63,12.19,
breakfast burrito,"breakfast sausage patties, cilantro, egg substitute, flour tortillas, garlic cloves, green onion, regular jack cheese, olive oil, onion, paprika, potatoes, castilian potatoes, roma tomato, vegetable oil","<ol><li>While potatoes are frying, heat vegetable oil in another fry pan over medium.  Cook and chop up patties with your spatula (you can microwave them for 30 seconds to soften first), then add beaten eggs and cook through.  Salt and pepper to taste, then set aside.</li><li>Assembly: Warm tortillas in the microwave for 45 seconds wrapped in damp paper towel, then lay out and layer each with potatoes, egg/sausage mix and cheese.  You can also put salsa inside, but I prefer mine on the outside.  Wrap like a regular burrito and lay in one of your fry pans on medium heat to melt cheese and seal shut.</li><li>Potatoes: Boil 4 medium gold potatoes, cubed, for 8 minutes, then drained and set aside.  Heat 2 tablespoons olive oil in a fry pan over medium-high and add 2 minced garlic cloves and (optional) 1 small chopped onion.  Add potatoes and season with 1 tbs paprika, then salt and pepper to taste and fry until browned</li><li>Salsa: Combine all ingredients in a bowl.</li><li>Me gusta!</li></ol>",959.68,49.61,18.45,98.02,88.05,7.61,65.14,1330.26,0.0,0.0,31.48,628.54,653.84,0.68,0.65,1.01,0.63,35.05,0.84,1276.26,1.21,100.78,1727.04,3.55,0.91,0.42,161.68,9.97,7.11,3.22,8.7,46.15,,47.53
bruschetta,"bread, extra virgin olive oil, garlic clove, kale, sea salt","<ol><li>Clean kale, by removing the tough stems.</li><li>Wash off and boil in salted water until tender</li><li>Drain well</li><li>Chop</li><li>Saute in olive oil with sliced garlic</li><li>Toast bread</li><li>Rub with raw garlic clove</li><li>Top with hot kale</li><li>Sprinkle with salt</li><li>Drizzle with Extra Virgin Olive Oil</li></ol>",132.05,14.09,1.95,1.65,1.46,0.1,0.01,201.85,0.0,0.0,0.35,13.33,,,,0.07,,0.76,,,,,254.02,,0.04,,,,0.2,2.04,,18.42,,3.31
caesar salad,"caesar dressing, lemon juice, olive oil, paprika, parmesan cheese, add pepper, romaine, salmon fillet, salt, slivered almonds","<ol><li>Directions: Heat up a skillet/frying pan and sir the Salmon in the coconut oil/olive oil (don't forget to add the salt and paprika to it) until very lightly browned on each side (i like my salmon slightly undercooked-its up to you if you want it more done). Top with freshly squeezed lemon juice and let it sit in the frying pan for about 1 minute. In a Large bowl, mix the romaine lettuce with the Caesar salad dressing and dump it out into a large plate, top off with Asiago/Parmesan cheese and you can also sprinkle the toasted almonds on now. Place the Salmon (sliced) on top. You can sprinkle it with some more fresh lemon juice:) and black pepper!</li></ol>",393.21,28.96,6.62,7.17,3.94,2.54,66.11,835.98,0.0,0.0,26.9,307.1,371.9,0.53,2.95,0.33,,36.47,0.3,778.75,1.73,64.66,10196.82,1.55,0.82,0.33,182.52,3.24,2.4,3.27,7.32,136.59,,10.39
cannoli,"baking powder, chocolate chips, cinnamon, citron optional, flour, nuts, powdered sugar, ricotta, sugar, vanilla, vinegar, water","<ol><li>Blend first 4 ingredients and add 1 tablespoon of butter. Blend with your fingertips as you would a pie crust. Add 2 tablespoons cold water and 2 tablespoons of vinegar. This makes a hard dough. Chill 1 hour.</li><li>Roll dough to 1/2 inch and cut into 4x5-inch rectangles. Roll dough around tubes, 1 inch diameter. Fry at 360 degrees until brown. Drain; cool.</li><li>Beat Ricotta, vanilla, sugar until smooth, then add chocolate chips and citron. Chill. Fill crusts at both ends with filling, then sprinkle ends with chopped nuts and dust with powdered sugar.</li><li>Makes 12 cannolis.</li></ol>",350.98,15.23,8.04,44.14,42.98,31.06,38.56,100.47,0.37,0.33,10.78,191.61,164.32,0.22,0.26,0.21,0.15,14.67,0.1,150.38,0.28,24.43,344.95,1.18,0.06,0.11,31.14,1.16,1.1,,0.98,,,2.86
